Party,Adults_In_Party,Children_In_Party,Double_Twin,Requires_Accessible_Room,Additional_Requests,Request_Satisfaction_Score,Room,Adults,Children,Features
Winmill,1,1,Double,false,"High Floor, NOT Near to lift",100,504,2,1,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,504,2,1,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,504,2,1,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,504,2,1,"High Floor, Bath, Double"
Baxstare,1,1,Double,false,"Bath, High Floor",100,504,2,1,"High Floor, Bath, Double"
Abramowitz,2,1,Double,false,"Bath, High Floor",100,504,2,1,"High Floor, Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,504,2,1,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,307,2,1,"Bath, Double"
O'Hare,1,1,Double,false,,100,307,2,1,"Bath, Double"
Rozzier,2,0,Double,false,Bath,100,307,2,1,"Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,307,2,1,"Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,307,2,1,"Bath, Double"
Sumers,2,0,Double,false,,100,307,2,1,"Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,307,2,1,"Bath, Double"
Krishtopaittis,1,0,Double,false,,100,506,2,1,"High Floor, Bath, Double"
O'Hare,1,1,Double,false,,100,506,2,1,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,506,2,1,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,506,2,1,"High Floor, Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,506,2,1,"High Floor, Bath, Double"
Henriquet,2,1,Double,false,"Bath, High Floor",100,506,2,1,"High Floor, Bath, Double"
Winmill,1,1,Double,false,"High Floor, NOT Near to lift",100,506,2,1,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,506,2,1,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,506,2,1,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,506,2,1,"High Floor, Bath, Double"
Baxstare,1,1,Double,false,"Bath, High Floor",100,506,2,1,"High Floor, Bath, Double"
Abramowitz,2,1,Double,false,"Bath, High Floor",100,506,2,1,"High Floor, Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,506,2,1,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,208,2,1,Double
O'Hare,1,1,Double,false,,100,208,2,1,Double
Sumers,2,0,Double,false,,100,208,2,1,Double
Krishtopaittis,1,0,Double,false,,100,205,2,0,Double
Sumers,2,0,Double,false,,100,205,2,0,Double
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,408,2,0,"High Floor, Twin"
Lansdale,1,0,Twin,false,High Floor,100,408,2,0,"High Floor, Twin"
Fallens,1,0,Twin,false,,100,408,2,0,"High Floor, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,408,2,0,"High Floor, Twin"
Cullum,2,0,Twin,false,,100,408,2,0,"High Floor, Twin"
Aarons,2,0,Twin,false,Bath,100,304,2,1,"Bath, Twin"
Fallens,1,0,Twin,false,,100,304,2,1,"Bath, Twin"
Cullum,2,0,Twin,false,,100,304,2,1,"Bath, Twin"
Kelle,1,1,Twin,false,Bath,100,304,2,1,"Bath, Twin"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,406,2,0,"High Floor, Twin"
Lansdale,1,0,Twin,false,High Floor,100,406,2,0,"High Floor, Twin"
Fallens,1,0,Twin,false,,100,406,2,0,"High Floor, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,406,2,0,"High Floor, Twin"
Cullum,2,0,Twin,false,,100,406,2,0,"High Floor, Twin"
Gendrich,3,0,Double,false,"Bath, High Floor",100,601,4,0,"High Floor, Bath, Near to lift, Double"
Vowell,4,0,Double,false,"High Floor, NOT Near to lift",100,604,4,0,"High Floor, Bath, Double"
Segeswoeth,4,0,Double,false,"High Floor, NOT Near to lift",100,604,4,0,"High Floor, Bath, Double"
Corain,4,0,Double,false,"Bath, High Floor, NOT Near to lift",100,604,4,0,"High Floor, Bath, Double"
Vowell,4,0,Double,false,"High Floor, NOT Near to lift",100,603,4,0,"High Floor, Bath, Double"
Segeswoeth,4,0,Double,false,"High Floor, NOT Near to lift",100,603,4,0,"High Floor, Bath, Double"
Corain,4,0,Double,false,"Bath, High Floor, NOT Near to lift",100,603,4,0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,204,2,0,"Bath, Double"
Rozzier,2,0,Double,false,Bath,100,204,2,0,"Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,204,2,0,"Bath, Double"
Sumers,2,0,Double,false,,100,204,2,0,"Bath, Double"
Aarons,2,0,Twin,false,Bath,100,302,2,1,"Bath, Twin"
Fallens,1,0,Twin,false,,100,302,2,1,"Bath, Twin"
Cullum,2,0,Twin,false,,100,302,2,1,"Bath, Twin"
Kelle,1,1,Twin,false,Bath,100,302,2,1,"Bath, Twin"
Krishtopaittis,1,0,Double,false,,100,103,2,0,"Accessible, Double"
Fearby,2,0,Double,true,,100,103,2,0,"Accessible, Double"
Sumers,2,0,Double,false,,100,103,2,0,"Accessible, Double"
Norcutt,2,0,Double,true,NOT Near to lift,100,103,2,0,"Accessible, Double"
Iczokvitz,2,0,Double,true,Bath,0,103,2,0,"Accessible, Double"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,403,2,1,"High Floor, Twin"
Lansdale,1,0,Twin,false,High Floor,100,403,2,1,"High Floor, Twin"
Fallens,1,0,Twin,false,,100,403,2,1,"High Floor, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,403,2,1,"High Floor, Twin"
Cullum,2,0,Twin,false,,100,403,2,1,"High Floor, Twin"
Krishtopaittis,1,0,Double,false,,100,503,2,1,"High Floor, Bath, Double"
O'Hare,1,1,Double,false,,100,503,2,1,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,503,2,1,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,503,2,1,"High Floor, Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,503,2,1,"High Floor, Bath, Double"
Henriquet,2,1,Double,false,"Bath, High Floor",100,503,2,1,"High Floor, Bath, Double"
Winmill,1,1,Double,false,"High Floor, NOT Near to lift",100,503,2,1,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,503,2,1,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,503,2,1,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,503,2,1,"High Floor, Bath, Double"
Baxstare,1,1,Double,false,"Bath, High Floor",100,503,2,1,"High Floor, Bath, Double"
Abramowitz,2,1,Double,false,"Bath, High Floor",100,503,2,1,"High Floor, Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,503,2,1,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,306,2,1,Double
O'Hare,1,1,Double,false,,100,306,2,1,Double
Sumers,2,0,Double,false,,100,306,2,1,Double
Krishtopaittis,1,0,Double,false,,100,505,2,0,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,505,2,0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,505,2,0,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,505,2,0,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,505,2,0,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,505,2,0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,207,2,0,"Bath, Double"
Rozzier,2,0,Double,false,Bath,100,207,2,0,"Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,207,2,0,"Bath, Double"
Sumers,2,0,Double,false,,100,207,2,0,"Bath, Double"
Vowell,4,0,Double,false,"High Floor, NOT Near to lift",100,602,4,0,"High Floor, Bath, Double"
Segeswoeth,4,0,Double,false,"High Floor, NOT Near to lift",100,602,4,0,"High Floor, Bath, Double"
Corain,4,0,Double,false,"Bath, High Floor, NOT Near to lift",100,602,4,0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,102,2,0,"Accessible, Double"
Fearby,2,0,Double,true,,100,102,2,0,"Accessible, Double"
Sumers,2,0,Double,false,,100,102,2,0,"Accessible, Double"
Norcutt,2,0,Double,true,NOT Near to lift,100,102,2,0,"Accessible, Double"
Iczokvitz,2,0,Double,true,Bath,0,102,2,0,"Accessible, Double"
Krishtopaittis,1,0,Double,false,,100,206,2,1,"Bath, Double"
O'Hare,1,1,Double,false,,100,206,2,1,"Bath, Double"
Rozzier,2,0,Double,false,Bath,100,206,2,1,"Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,206,2,1,"Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,206,2,1,"Bath, Double"
Sumers,2,0,Double,false,,100,206,2,1,"Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,206,2,1,"Bath, Double"
Krishtopaittis,1,0,Double,false,,100,202,2,0,"Bath,Double"
Rozzier,2,0,Double,false,Bath,100,202,2,0,"Bath,Double"
Ghiriardelli,2,0,Double,false,Bath,100,202,2,0,"Bath,Double"
Sumers,2,0,Double,false,,100,202,2,0,"Bath,Double"
Guisler,1,0,Twin,false,"Bath, High Floor, NOT Near to lift",100,407,2,0,"High Floor, Bath, Twin"
Aarons,2,0,Twin,false,Bath,100,407,2,0,"High Floor, Bath, Twin"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,407,2,0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,false,High Floor,100,407,2,0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,false,,100,407,2,0,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,407,2,0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,false,"Bath, High Floor",100,407,2,0,"High Floor, Bath, Twin"
Gubbins,2,0,Twin,false,"Bath, High Floor",100,407,2,0,"High Floor, Bath, Twin"
Cullum,2,0,Twin,false,,100,407,2,0,"High Floor, Bath, Twin"
Krishtopaittis,1,0,Double,false,,100,101,2,0,"Accessible, Near to lift, Double"
Fearby,2,0,Double,true,,100,101,2,0,"Accessible, Near to lift, Double"
Sumers,2,0,Double,false,,100,101,2,0,"Accessible, Near to lift, Double"
Iczokvitz,2,0,Double,true,Bath,0,101,2,0,"Accessible, Near to lift, Double"
Krishtopaittis,1,0,Double,false,,100,502,2,0,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,502,2,0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,502,2,0,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,502,2,0,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,502,2,0,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,502,2,0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,507,2,1,"High Floor, Bath, Double"
O'Hare,1,1,Double,false,,100,507,2,1,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,507,2,1,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,507,2,1,"High Floor, Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,507,2,1,"High Floor, Bath, Double"
Henriquet,2,1,Double,false,"Bath, High Floor",100,507,2,1,"High Floor, Bath, Double"
Winmill,1,1,Double,false,"High Floor, NOT Near to lift",100,507,2,1,"High Floor, Bath, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,507,2,1,"High Floor, Bath, Double"
Sumers,2,0,Double,false,,100,507,2,1,"High Floor, Bath, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,507,2,1,"High Floor, Bath, Double"
Baxstare,1,1,Double,false,"Bath, High Floor",100,507,2,1,"High Floor, Bath, Double"
Abramowitz,2,1,Double,false,"Bath, High Floor",100,507,2,1,"High Floor, Bath, Double"
Josefer,1,1,Double,false,"Bath, NOT Near to lift",100,507,2,1,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,false,,100,308,2,0,"Bath, Double"
Rozzier,2,0,Double,false,Bath,100,308,2,0,"Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,308,2,0,"Bath, Double"
Sumers,2,0,Double,false,,100,308,2,0,"Bath, Double"
Krishtopaittis,1,0,Double,false,,100,501,2,1,"High Floor, Bath, Near to lift, Double"
O'Hare,1,1,Double,false,,100,501,2,1,"High Floor, Bath, Near to lift, Double"
Rozzier,2,0,Double,false,Bath,100,501,2,1,"High Floor, Bath, Near to lift, Double"
Ghiriardelli,2,0,Double,false,Bath,100,501,2,1,"High Floor, Bath, Near to lift, Double"
Henriquet,2,1,Double,false,"Bath, High Floor",100,501,2,1,"High Floor, Bath, Near to lift, Double"
Sumers,2,0,Double,false,,100,501,2,1,"High Floor, Bath, Near to lift, Double"
Baxstare,1,1,Double,false,"Bath, High Floor",100,501,2,1,"High Floor, Bath, Near to lift, Double"
Abramowitz,2,1,Double,false,"Bath, High Floor",100,501,2,1,"High Floor, Bath, Near to lift, Double"
Aarons,2,0,Twin,false,Bath,100,303,2,0,"Bath, Twin"
Fallens,1,0,Twin,false,,100,303,2,0,"Bath, Twin"
Cullum,2,0,Twin,false,,100,303,2,0,"Bath, Twin"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,404,2,1,"High Floor, Twin"
Lansdale,1,0,Twin,false,High Floor,100,404,2,1,"High Floor, Twin"
Fallens,1,0,Twin,false,,100,404,2,1,"High Floor, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,404,2,1,"High Floor, Twin"
Cullum,2,0,Twin,false,,100,404,2,1,"High Floor, Twin"
Guisler,1,0,Twin,false,"Bath, High Floor, NOT Near to lift",100,402,2,1,"High Floor, Bath, Twin"
Aarons,2,0,Twin,false,Bath,100,402,2,1,"High Floor, Bath, Twin"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,402,2,1,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,false,High Floor,100,402,2,1,"High Floor, Bath, Twin"
Fallens,1,0,Twin,false,,100,402,2,1,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,402,2,1,"High Floor, Bath, Twin"
Marusik,1,0,Twin,false,"Bath, High Floor",100,402,2,1,"High Floor, Bath, Twin"
Gubbins,2,0,Twin,false,"Bath, High Floor",100,402,2,1,"High Floor, Bath, Twin"
Cullum,2,0,Twin,false,,100,402,2,1,"High Floor, Bath, Twin"
Kelle,1,1,Twin,false,Bath,100,402,2,1,"High Floor, Bath, Twin"
Krishtopaittis,1,0,Double,false,,100,508,2,0,"High Floor, Double"
Chese,2,0,Double,false,"High Floor, NOT Near to lift",100,508,2,0,"High Floor, Double"
Sumers,2,0,Double,false,,100,508,2,0,"High Floor, Double"
Jirousek,2,0,Double,false,"High Floor, NOT Near to lift",100,508,2,0,"High Floor, Double"
